MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Terrace Bay Tp,ST. LOUIS,RICK,LOCAL COUNCILLOR,426,"2,160",ELECTED,NO,NO
Thames Centre M,WARWICK,ALISON,MAYOR,"2,853","4,697",ELECTED,YES,NO
Thames Centre M,ELLIOTT,KELLY,DEPUTY MAYOR,"2,938","4,664",ELECTED,YES,NO
Thames Centre M,HEEMAN,THOMAS,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Thames Centre M,PATTERSON,CHRIS,LOCAL COUNCILLOR,785,"1,588",ELECTED,NO,NO
Thames Centre M,HUNTER,PAUL,LOCAL COUNCILLOR,832,"1,449",ELECTED,NO,NO
The Archipelago Tp,Liverance,Bert,REEVE, -   , -   ,ACCLAIMED,YES,NO
The Archipelago Tp,Andrews,Greg,LOCAL COUNCILLOR,185,631,ELECTED,YES,NO
The Archipelago Tp,Emery,Laurie,LOCAL COUNCILLOR,278,631,ELECTED,NO,NO
The Archipelago Tp,Frost,Peter,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
The Archipelago Tp,Manners,Earl,LOCAL COUNCILLOR,260,958,ELECTED,NO,NO
The Archipelago Tp,Sheard,Scott,LOCAL COUNCILLOR,283,958,ELECTED,NO,NO
The Archipelago Tp,Ashley,David,LOCAL COUNCILLOR,415,"1,360",ELECTED,YES,NO
The Archipelago Tp,Barton,Alice,LOCAL COUNCILLOR,408,"1,360",ELECTED,NO,NO
The Archipelago Tp,Zanussi,Rick,LOCAL COUNCILLOR,342,"1,360",ELECTED,YES,NO
The Archipelago Tp,Mead,Ian,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
The Archipelago Tp,Walker,Grant,LOCAL COUNCILLOR,140,273,ELECTED,YES,NO
The Blue Mountains T,SOEVER,ALAR,MAYOR,"2,029","4,749",ELECTED,NO,NO
The Blue Mountains T,BARTNICKI,ODETTE,DEPUTY MAYOR,"2,167","4,635",ELECTED,NO,NO
The Blue Mountains T,BORDIGNON,PETER,LOCAL COUNCILLOR,"2,469","19,973",ELECTED,NO,NO
The Blue Mountains T,MATROSOVS,ANDREA,LOCAL COUNCILLOR,"2,063","19,973",ELECTED,NO,NO
The Blue Mountains T,POTTER,ROB,LOCAL COUNCILLOR,"2,689","19,973",ELECTED,YES,NO
The Blue Mountains T,SAMPSON,ROB,LOCAL COUNCILLOR,"2,398","19,973",ELECTED,NO,NO
The Blue Mountains T,URAM,JIM,LOCAL COUNCILLOR,"2,162","19,973",ELECTED,NO,NO
The Nation M,St-Amour,Francois,MAYOR,"1,855","4,816",ELECTED,YES,NO
The Nation M,Lanthier,Marie-Noelle,LOCAL COUNCILLOR,575,"2,475",ELECTED,YES,NO
The Nation M,Mainville,Alain,LOCAL COUNCILLOR,549,"1,772",ELECTED,NO,NO
The Nation M,Forgues,Danik,LOCAL COUNCILLOR,623,"1,828",ELECTED,NO,NO
The Nation M,Briere ,Francis,LOCAL COUNCILLOR,973,"3,717",ELECTED,YES,NO
The North Shore Tp,Condie,Randi,MAYOR,119,316,ELECTED,YES,NO
The North Shore Tp,Green,Brenda,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
The North Shore Tp,Barton,Barb,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
The North Shore Tp,Rose,Melody,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
The North Shore Tp,Gamble,Gary,LOCAL COUNCILLOR,108,,ELECTED,NO,NO
The South Bruce Peninsula T,Jackson,Janice,Mayor,"3,795","5,837",ELECTED,YES,NO
The South Bruce Peninsula T,Kirkland,Jay,Deputy Mayor,"4,386","5,561",ELECTED,YES,NO
The South Bruce Peninsula T,Bell,Terry,LOCAL COUNCILLOR,"2,780","14,962",ELECTED,NO,NO
The South Bruce Peninsula T,Durst,Kathy,LOCAL COUNCILLOR,"2,532","14,962",ELECTED,NO,NO
The South Bruce Peninsula T,McKenzie,Paul,LOCAL COUNCILLOR,"3,347","14,962",ELECTED,YES,NO
Thessalon T,Rosenberg,Bill,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Thessalon T,Baron,Marcel,LOCAL COUNCILLOR,217,,ELECTED,NO,NO
Thessalon T,Bird,Jordan,LOCAL COUNCILLOR,288,,ELECTED,YES,NO
Thessalon T,Cooke,Tracey,LOCAL COUNCILLOR,285,,ELECTED,NO,NO
Thessalon T,Rankin,Randy,LOCAL COUNCILLOR,277,,ELECTED,YES,NO
Thessalon T,Stopes,Linda,LOCAL COUNCILLOR,264,,ELECTED,NO,NO
Thessalon T,Tallon,Lindsay,LOCAL COUNCILLOR,250,,ELECTED,NO,NO
Thornloe V,Read,Earl,REEVE, -   , -   ,ACCLAIMED,YES,NO
Thornloe V,Peddie,Allan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Thornloe V,Peddie,Pauline,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Thornloe V,Thorpe,Judith,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Thornloe V,Kramp,Jason,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Thorold C,UGULINI,TERRY,MAYOR,"3,298","5,120",ELECTED,YES,NO
Thorold C,WHALEN,TIM,REGIONAL COUNCILLOR,"2,997","4,960",ELECTED,YES,NO
Thorold C,LONGO,ANTHONY,LOCAL COUNCILLOR,"2,326","28,638",ELECTED,YES,NO
Thorold C,DEROSE,CARMEN,LOCAL COUNCILLOR,"2,271","28,638",ELECTED,NO,NO
Thorold C,NEALE,FRED,LOCAL COUNCILLOR,"2,271","28,638",ELECTED,YES,NO
Thorold C,HANDLEY,DAVID (JIM),LOCAL COUNCILLOR,"2,222","28,638",ELECTED,YES,NO
Thorold C,WILSON,VICTORIA,LOCAL COUNCILLOR,"2,199","28,638",ELECTED,NO,NO
Thorold C,SENTANCE,KEN,LOCAL COUNCILLOR,"2,141","28,638",ELECTED,NO,NO
Thorold C,KENNY,JOHN,LOCAL COUNCILLOR,"2,080","28,638",ELECTED,NO,NO
Thorold C,DEKKER (D'EPIRO),NELLA,LOCAL COUNCILLOR,"1,962","28,638",ELECTED,NO,NO
Thunder Bay C,Mauro,Bill,Mayor,"13,940","41,108",ELECTED,NO,NO
Thunder Bay C,Johnson ,Rebecca ,LOCAL COUNCILLOR,"11,692","172,523",ELECTED,YES,NO
Thunder Bay C,Giertuga ,Trevor ,LOCAL COUNCILLOR,"11,718","172,523",ELECTED,YES,NO
Thunder Bay C,Bentz ,Mark ,LOCAL COUNCILLOR,"11,074","172,523",ELECTED,NO,NO
Thunder Bay C,You ,Peng ,LOCAL COUNCILLOR,"20,346","172,523",ELECTED,NO,NO
Thunder Bay C,Ruberto ,Aldo ,LOCAL COUNCILLOR,"14,745","172,523",ELECTED,YES,NO
Thunder Bay C,Ch'ng ,Shelby ,LOCAL COUNCILLOR,"3,495","5,357",ELECTED,YES,NO
Thunder Bay C,Oliver ,Kristen,LOCAL COUNCILLOR,"2,752","5,914",ELECTED,NO,NO
Thunder Bay C,Aiello ,Albert ,LOCAL COUNCILLOR,"3,381","6,778",ELECTED,NO,NO
Thunder Bay C,McKinnon ,Brian ,LOCAL COUNCILLOR,"3,143","7,118",ELECTED,YES,NO
Thunder Bay C,Hamilton ,Brian ,LOCAL COUNCILLOR,"1,964","4,669",ELECTED,NO,NO
Thunder Bay C,Fraser ,Cody ,LOCAL COUNCILLOR,"1,427","4,387",ELECTED,NO,NO
Thunder Bay C,Foulds ,Andrew,LOCAL COUNCILLOR,"2,956","5,012",ELECTED,YES,NO
Tillsonburg T,Molnar,Stephen,MAYOR,"2,909","4,842",ELECTED,YES,NO
Tillsonburg T,Rosehart,Chris,LOCAL COUNCILLOR,"2,288","15,691",ELECTED,YES,NO
Tillsonburg T,Parker,Chris,LOCAL COUNCILLOR,"1,904","15,691",ELECTED,NO,NO
Tillsonburg T,Luciani,Pete,LOCAL COUNCILLOR,"2,906","15,691",ELECTED,NO,NO
Tillsonburg T,Gilvesy,Deb,LOCAL COUNCILLOR,"2,894","15,691",ELECTED,YES,NO
Tillsonburg T,Esseltine,Penny,LOCAL COUNCILLOR,"2,395","15,691",ELECTED,YES,YES
Tillsonburg T,Beres,Dave,LOCAL COUNCILLOR,"3,304","15,691",ELECTED,YES,YES
Timmins C,Pirie,George,MAYOR,"10,323","16,150",ELECTED,NO,NO
Timmins C,Whissell,Rock,LOCAL COUNCILLOR,"2,316","3,128",ELECTED,NO,NO
Timmins C,Auger,Mickey,LOCAL COUNCILLOR,526,"1,367",ELECTED,NO,NO
Timmins C,Campbell,Joe,LOCAL COUNCILLOR,459,834,ELECTED,YES,NO
Timmins C,Curley,John Patrick,LOCAL COUNCILLOR,793,"1,818",ELECTED,NO,NO
Timmins C,Murray,Kristin,LOCAL COUNCILLOR,"3,369","3,369",ELECTED,NO,NO
Timmins C,Boileau,Michelle,LOCAL COUNCILLOR,"3,280","3,280",ELECTED,NO,NO
Timmins C,Rinaldo,Noella,LOCAL COUNCILLOR,"3,253","3,253",ELECTED,YES,NO
Timmins C,Marks,Andrew,LOCAL COUNCILLOR,"2,637","2,637",ELECTED,YES,NO
Tiny Tp,Cornell,George,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Tiny Tp,Walma,Steffen,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Tiny Tp,Hastings,Cindy,LOCAL COUNCILLOR,"4,131","11,780",ELECTED,YES,NO
Tiny Tp,Mintoff,Tony,LOCAL COUNCILLOR,"2,609","11,780",ELECTED,NO,NO
Tiny Tp,Wishart,Gibb,LOCAL COUNCILLOR,"3,182","11,780",ELECTED,YES,NO
Toronto C,Tory,John,MAYOR,"479,659","755,493",ELECTED,YES,NO
Toronto C,Ford,Michael,LOCAL COUNCILLOR,"10,648","25,199",ELECTED,YES,NO
Toronto C,Holyday,Stephen,LOCAL COUNCILLOR,"14,627","37,915",ELECTED,YES,NO
Toronto C,Grimes,Mark,LOCAL COUNCILLOR,"16,527","40,408",ELECTED,YES,NO
Toronto C,Perks,Gord,LOCAL COUNCILLOR,"16,887","37,903",ELECTED,YES,NO
Toronto C,Nunziata,Frances,LOCAL COUNCILLOR,"8,425","26,180",ELECTED,YES,NO
Toronto C,Pasternak,James,LOCAL COUNCILLOR,"11,559","24,279",ELECTED,YES,NO
Toronto C,Peruzza,Anthony,LOCAL COUNCILLOR,"8,336","22,652",ELECTED,YES,NO
Toronto C,Colle,Mike,LOCAL COUNCILLOR,"14,094","34,096",ELECTED,YES,NO
Toronto C,Baillao,Ana,LOCAL COUNCILLOR,"26,219","31,355",ELECTED,YES,NO
Toronto C,Cressy,Joe,LOCAL COUNCILLOR,"15,903","28,884",ELECTED,YES,NO
Toronto C,Layton,Mike,LOCAL COUNCILLOR,"22,370","32,157",ELECTED,YES,NO
Toronto C,Matlow,Josh,LOCAL COUNCILLOR,"20,371","39,475",ELECTED,YES,NO
Toronto C,Wong-Tam,Kristyn,LOCAL COUNCILLOR,"15,706","31,249",ELECTED,YES,NO
Toronto C,Fletcher,Paula,LOCAL COUNCILLOR,"16,468","38,959",ELECTED,YES,NO
Toronto C,Robinson,Jaye,LOCAL COUNCILLOR,"16,219","32,955",ELECTED,YES,NO
Toronto C,Minnan-Wong,Denzil,LOCAL COUNCILLOR,"11,128","24,017",ELECTED,YES,NO
Toronto C,Carroll,Shelley,LOCAL COUNCILLOR,"10,554","26,099",ELECTED,NO,NO
Toronto C,Filon,John,LOCAL COUNCILLOR,"8,104","26,088",ELECTED,YES,NO
Toronto C,Bradford,Brad,LOCAL COUNCILLOR,"14,286","37,048",ELECTED,YES,NO
Toronto C,Crawford,Gary,LOCAL COUNCILLOR,"10,505","29,405",ELECTED,YES,NO
Toronto C,Thompson,Michael,LOCAL COUNCILLOR,"16,542","23,966",ELECTED,YES,NO
Toronto C,Karygiannis,Jim,LOCAL COUNCILLOR,"12,593","26,907",ELECTED,YES,NO
Toronto C,Lai,Cynthia,LOCAL COUNCILLOR,"5,589","20,688",ELECTED,NO,NO
Toronto C,Ainslie,Paul ,LOCAL COUNCILLOR,"15,131","22,646",ELECTED,YES,NO
Toronto C,McKelvie,Jennifer,LOCAL COUNCILLOR,"11,624","28,907",ELECTED,YES,NO
Trent Hills M,Crate,Robert,MAYOR,"2,735","4,382",ELECTED,YES,NO
Trent Hills M,Brahaney,Gene,LOCAL COUNCILLOR,"1,700","2,640",ELECTED,YES,NO
Trent Hills M,Kelleher-MacLennan,Rosemary,LOCAL COUNCILLOR,"1,846","2,640",ELECTED,YES,NO
Trent Hills M,Redden,Catherine,LOCAL COUNCILLOR,"1,788","2,640",ELECTED,YES,NO
Trent Hills M,English,Rick,LOCAL COUNCILLOR,876,"1,242",ELECTED,YES,NO
Trent Hills M,Tully,Ken,LOCAL COUNCILLOR,763,"1,242",ELECTED,YES,NO
Trent Hills M,Metcalf,Michael,LOCAL COUNCILLOR,345,504,ELECTED,YES,NO
Trent Lakes M,Clarkson,Janet,MAYOR,"2,109","3,992",ELECTED,NO,NO
Trent Lakes M,Windover,Ron,DEPUTY MAYOR,"2,165","3,992",ELECTED,YES,NO
Trent Lakes M,Letto,Kim,LOCAL COUNCILLOR,"1,219","2,572",ELECTED,NO,NO
Trent Lakes M,Armstrong,Carol,LOCAL COUNCILLOR,966,"1,420",ELECTED,NO,NO
Trent Lakes M,Lambshead,Terry,LOCAL COUNCILLOR,"2,224","3,992",ELECTED,YES,NO
Tudor and Cashel Tp,CLARKE,LIBBY,REEVE,381,572,ELECTED,YES,NO
Tudor and Cashel Tp,CARROLL,RONALD WAYNE,DEPUTY REEVE,323,570,ELECTED,NO,NO
Tudor and Cashel Tp,BRIDGER,BOB,LOCAL COUNCILLOR,320,"1,222",ELECTED,NO,NO
Tudor and Cashel Tp,REILLY,NOREEN,LOCAL COUNCILLOR,326,"1,222",ELECTED,YES,NO
Tudor and Cashel Tp,REEDS,ROY W.,LOCAL COUNCILLOR,292,"1,222",ELECTED,NO,NO
Tweed M,Albert,Jo-Anne,Mayor,"1,482","2,444",ELECTED,YES,NO
Tweed M,Treanor,Brian,DEPUTY MAYOR,"1,167","2,438",ELECTED,YES,NO
Tweed M,Palmateer,Jacob,LOCAL COUNCILLOR,"1,570","6,478",ELECTED,NO,NO
Tweed M,DeMarsh,Jamie,LOCAL COUNCILLOR,"1,302","6,478",ELECTED,YES,NO
Tweed M,Flieler,Jim,LOCAL COUNCILLOR,"1,290","6,478",ELECTED,YES,NO
Tyendinaga Tp,Phillips,Rick,REEVE,"1,029","1,692",ELECTED,YES,NO
Tyendinaga Tp,Hannafin,Adam,DEPUTY REEVE, -   , -   ,ACCLAIMED,YES,NO
Tyendinaga Tp,Kennelly,Claire,LOCAL COUNCILLOR,859,"4,382",ELECTED,NO,NO
Tyendinaga Tp,Lang,Heather,LOCAL COUNCILLOR,857,"4,382",ELECTED,YES,NO
Tyendinaga Tp,McFarlane,Don,LOCAL COUNCILLOR,800,"4,382",ELECTED,YES,NO
Uxbridge Tp,BARTON,DAVE,MAYOR,"5,325","8,451",ELECTED,YES,NO
Uxbridge Tp,HIGHET,GORD,REGIONAL COUNCILLOR,"4,315","8,036",ELECTED,YES,NO
Uxbridge Tp,BEACH,PAM,LOCAL COUNCILLOR,832,"1,556",ELECTED,YES,NO
Uxbridge Tp,RUONA,GARY,LOCAL COUNCILLOR,709,"1,777",ELECTED,YES,NO
Uxbridge Tp,GARROD,BRUCE,LOCAL COUNCILLOR,797,"1,408",ELECTED,NO,NO
Uxbridge Tp,POPP,WILLIE,LOCAL COUNCILLOR,"1,126","2,200",ELECTED,NO,NO
Uxbridge Tp,SNOOKS,TODD,LOCAL COUNCILLOR,586,"1,412",ELECTED,NO,NO
Val Rita-Harty Tp,Baril,Johanne,MAYOR,186,301,ELECTED,YES,NO
Val Rita-Harty Tp,Beauvais,Angele,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Val Rita-Harty Tp,Lessard,Carole,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Val Rita-Harty Tp,Tremblay,Alain,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Val Rita-Harty Tp,Lachance,Roger,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Vaughan C,Bevilacqua,Maurizio ,MAYOR,"37,072","52,433",ELECTED,YES,NO
Vaughan C, Ferri,Mario,LOCAL AND REGIONAL COUNCILLOR,"23,323","42,545",ELECTED,YES,NO
Vaughan C,Rosati,Gino ,LOCAL AND REGIONAL COUNCILLOR,"23,113","42,545",ELECTED,YES,NO
Vaughan C,Jackson,Linda D. ,LOCAL AND REGIONAL COUNCILLOR,"15,962","42,545",ELECTED,NO,NO
Vaughan C,Iafrate, Marilyn ,LOCAL COUNCILLOR,"6,538","11,903",ELECTED,YES,NO
Vaughan C,Carella,Tony ,LOCAL COUNCILLOR,"4,020","11,884",ELECTED,YES,NO
Vaughan C,DeFrancesca,Rosanna,LOCAL COUNCILLOR,"6,220","10,145",ELECTED,YES,NO
Vaughan C,Yeung Racco,Sandra,LOCAL COUNCILLOR,"2,868","5,790",ELECTED,YES,NO
Vaughan C,Shefman,Alan ,LOCAL COUNCILLOR,"6,769","12,187",ELECTED,YES,NO
Wainfleet Tp,GIBSON,KEVIN,MAYOR,"1,009","2,859",ELECTED,NO,NO
Wainfleet Tp,GILMORE,TERRY,LOCAL COUNCILLOR,"1,376","8,760",ELECTED,YES,NO
Wainfleet Tp,CRIDLAND,DONNA,LOCAL COUNCILLOR,"1,056","8,760",ELECTED,NO,NO
Wainfleet Tp,MACLELLAN,JOHN,LOCAL COUNCILLOR,863,"8,760",ELECTED,NO,NO
Wainfleet Tp,VAN VLIET,SHERRI,LOCAL COUNCILLOR,842,"8,760",ELECTED,NO,NO
Warwick Tp,Rombouts,Jackie,MAYOR,668,"1,267",ELECTED,YES,NO
Warwick Tp,Mitchell,Colin,LOCAL COUNCILLOR,759,"4,091",ELECTED,NO,NO
Warwick Tp,Westgate,Jerry,LOCAL COUNCILLOR,901,"4,091",ELECTED,YES,NO
Warwick Tp,White,Todd,LOCAL COUNCILLOR,850,"4,091",ELECTED,YES,NO
Warwick Tp,Morris,Wayne,LOCAL COUNCILLOR,832,"4,091",ELECTED,NO,NO
Wasaga Beach T,BIFOLCHI,NINA,MAYOR,"6,101","10,082",ELECTED,YES,NO
Wasaga Beach T,BRAY,SYLVIA,DEPUTY MAYOR,"6,584","9,945",ELECTED,YES,NO
Wasaga Beach T,FOSTER,DAVID,LOCAL COUNCILLOR,"4,775","42,159",ELECTED,NO,NO
Wasaga Beach T,WELLS,STAN,LOCAL COUNCILLOR,"4,670","42,159",ELECTED,NO,NO
Wasaga Beach T,WATSON,GEORGE,LOCAL COUNCILLOR,"3,773","42,159",ELECTED,NO,NO
Wasaga Beach T,KINNEY,MARK,LOCAL COUNCILLOR,"4,005","42,159",ELECTED,NO,NO
Wasaga Beach T,BELANGER,JOE,LOCAL COUNCILLOR,"3,426","42,159",ELECTED,NO,NO
Waterloo C,Jaworsky,Dave,MAYOR,"17,307","24,429",ELECTED,YES,NO
Waterloo C,Hanmer,Sandra,LOCAL COUNCILLOR,"1,150","3,563",ELECTED,NO,NO
Waterloo C,Bodaly,Royce,LOCAL COUNCILLOR,781,"2,761",ELECTED,NO,NO
Waterloo C,Vieth,Angela,LOCAL COUNCILLOR,"1,710","3,270",ELECTED,YES,NO
Waterloo C,Freeman,Diane Lynn,LOCAL COUNCILLOR,"2,461","3,455",ELECTED,YES,NO
Waterloo C,Vasic,Jen,LOCAL COUNCILLOR,"2,004","3,789",ELECTED,NO,NO
Waterloo C,Henry,Jeff,LOCAL COUNCILLOR,"1,989","2,696",ELECTED,YES,NO
Waterloo C,Bonoguore,Tenille,LOCAL COUNCILLOR,"1,750","4,287",ELECTED,NO,NO
Waterloo R,Redman,Karen,REGIONAL CHAIR,"13,806","66,370",ELECTED,YES,NO
Waterloo R,Keifer,Karl,REGIONAL COUNCILLOR,"13,209","40,645",ELECTED,YES,NO
Waterloo R,Jowett,Helen,REGIONAL COUNCILLOR,"12,801","40,645",ELECTED,YES,NO
Waterloo R,Galloway,Tom,REGIONAL COUNCILLOR,"23,078","120,387",ELECTED,YES,NO
Waterloo R,Clarke,Elizabeth,REGIONAL COUNCILLOR,"21,037","120,387",ELECTED,YES,NO
Waterloo R,Harris,Michael D.,REGIONAL COUNCILLOR,"16,935","120,387",ELECTED,NO,NO
Waterloo R,Lorentz,Geoff,REGIONAL COUNCILLOR,"16,599","120,387",ELECTED,YES,NO
Waterloo R,Erb,Jim,REGIONAL COUNCILLOR,"13,089","40,056",ELECTED,NO,NO
Waterloo R,Strickland,Sean,REGIONAL COUNCILLOR,"10,776","40,056",ELECTED,YES,NO
Waterloo R,Armstrong,Les,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Waterloo R,Nowak,Joe,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Waterloo R,Jaworsky,Dave,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Waterloo R,Foxton,Sue,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Waterloo R,McGarry,Kathryn,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Waterloo R,Vrbanovic,Berry,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Waterloo R,Shantz,Sandy,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Wawa M,Rody,Ron,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Wawa M,Chiasson,Bill,LOCAL COUNCILLOR,596,837,ELECTED,YES,NO
Wawa M,Hatfield,Mitch,LOCAL COUNCILLOR,395,837,ELECTED,NO,NO
Wawa M,Reece,Robert Allen,LOCAL COUNCILLOR,407,837,ELECTED,NO,NO
Wawa M,Tait,Pat,LOCAL COUNCILLOR,610,837,ELECTED,YES,NO
Welland C,CAMPION,FRANK,MAYOR,"10,100","12,966",ELECTED,YES,NO
Welland C,GRIMALDI,MARY ANN,LOCAL COUNCILLOR,"1,000","3,326",ELECTED,YES,NO
Welland C,MOOTE,ADAM,LOCAL COUNCILLOR,886,"3,326",ELECTED,NO,NO
Welland C,MCLEOD,DAVID,LOCAL COUNCILLOR,"1,404","4,128",ELECTED,YES,NO
Welland C,VAN VLIET,LEO,LOCAL COUNCILLOR,"1,407","4,128",ELECTED,YES,NO
Welland C,CHIOCCHIO,JOHN,LOCAL COUNCILLOR,"1,191","4,141",ELECTED,YES,NO
Welland C,SPINOSA,LUCAS,LOCAL COUNCILLOR,"1,547","4,141",ELECTED,NO,NO
Welland C,DIMARCO,TONY,LOCAL COUNCILLOR,"1,126","3,963",ELECTED,YES,NO
Welland C,GREEN,BRYAN,LOCAL COUNCILLOR,"1,146","3,963",ELECTED,NO,NO
Welland C,RICHARD,CLAUDETTE,LOCAL COUNCILLOR,"1,099","3,371",ELECTED,YES,NO
Welland C,SPECK,GRAHAM,LOCAL COUNCILLOR,"1,110","3,371",ELECTED,NO,NO
Welland C,FOKKENS,BONNIE,LOCAL COUNCILLOR,"1,096","3,451",ELECTED,YES,NO
Welland C,LAROUCHE,JIM,LOCAL COUNCILLOR,874,"3,451",ELECTED,YES,NO
Welland C,CHIOCCHIO,PAT,REGIONAL COUNCILLOR,"6,354","21,206",ELECTED,NO,NO
Welland C,VILLELLA,LEANNA,REGIONAL COUNCILLOR,"6,344","21,206",ELECTED,NO,NO
Wellesley Tp,Nowak,Joe,MAYOR,"1,271","2,519",ELECTED,YES,NO
Wellesley Tp,Wagner,Shelley,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellesley Tp,Neher,Herb,LOCAL COUNCILLOR,150,234,ELECTED,YES,NO
Wellesley Tp,van der Maas,Peter,LOCAL COUNCILLOR,593,"1,391",ELECTED,YES,NO
Wellesley Tp,Smit,Carl,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington Co,Anderson,David,COUNTY COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington Co,Campbell,Earl,COUNTY COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Wellington Co,Cork,Campbell,COUNTY COUNCILLOR,"1,410","2,256",ELECTED,NO,NO
Wellington Co,O'Neill,Stephen,COUNTY COUNCILLOR,564,"1,997",ELECTED,NO,NO
Wellington Co,Lloyd,Mary,COUNTY COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington Co,Ballantyne,Diane,COUNTY COUNCILLOR,"1,660","3,326",ELECTED,NO,NO
Wellington Co,McKay,Don,COUNTY COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington Co,Breen,Doug,COUNTY COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington Co,Duncan,Jeff,COUNTY COUNCILLOR,"1,996","3,113",ELECTED,NO,NO
Wellington Co,Bridge,George,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Wellington Co,Davidson,Gregg,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Wellington Co,Lennox,Andy,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Wellington Co,Linton,Kelly,WARDEN,,,,YES,NO
Wellington Co,Seeley,James,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Wellington Co,White,Chris,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Wellington Co,Alls,Allan,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Wellington North Tp,Lennox ,Andy,MAYOR,"2,438","3,437",ELECTED,YES,NO
Wellington North Tp,Yake,Dan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington North Tp,Burke,Sherry,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington North Tp,Hern,Lisa,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Wellington North Tp,McCabe,Steven Terrance,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
West Elgin M,McPhail,Duncan,MAYOR,"1,113","1,747",ELECTED,NO,NO
West Elgin M,Leatham,Richard,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
West Elgin M,Tellier,Taraesa,LOCAL COUNCILLOR,299,700,ELECTED,NO,NO
West Elgin M,Cammaert,Angela,LOCAL COUNCILLOR,363,590,ELECTED,NO,NO
West Elgin M,Rowe,Bonnie,LOCAL COUNCILLOR,230,462,ELECTED,NO,NO
West Grey M,Robinson,Christine,MAYOR,"2,210","4,616",ELECTED,NO,NO
West Grey M,Hutchinson,Tom,DEPUTY MAYOR,"2,610","4,616",ELECTED,NO,NO
West Grey M,Hamilton,Beth,LOCAL COUNCILLOR,"2,753","4,616",ELECTED,NO,NO
West Grey M,Hergert,Rebecca,LOCAL COUNCILLOR,"2,024","4,616",ELECTED,YES,NO
West Grey M,Hutchinson,Doug,LOCAL COUNCILLOR,"2,418","4,616",ELECTED,YES,NO
West Grey M,Shea,Geoffrey,LOCAL COUNCILLOR,"1,616","4,616",ELECTED,NO,NO
West Grey M,Townsend,Stephen,LOCAL COUNCILLOR,"1,897","4,616",ELECTED,NO,NO
West Lincoln Tp,Bylsma,Dave ,MAYOR,"2,115","4,452",ELECTED,YES,NO
